channelId,name,name.en,affiliation,group,subscriptionCount,videoCount
UCoM_XmK45j504hfUWvN06Qg,成瀬 鳴 / Naruse Naru【にじさんじ】,Naruse Naru,Nijisanji,SEEDS,85800,358
UCPvGypSgfDkVe7JG2KygK7A,竜胆 尊 / Rindou Mikoto,Rindou Mikoto,Nijisanji,SEEDS,416000,266
UCRV9d6YCYIMUszK-83TwxVA,轟京子/kyoko todoroki【にじさんじ】,Todoroki Kyoko,Nijisanji,SEEDS,101000,446
UCRWOdwLRsenx2jLaiCAIU4A,雨森小夜,Amemori Sayo,Nijisanji,SEEDS,140000,69
UCryOPk2GZ1meIDt53tL30Tw,鈴木勝 / Suzuki Masaru【にじさんじ】,Suzuki Masaru,Nijisanji,SEEDS,157000,516
UCsFn_ueskBkMCEyzCEqAOvg,花畑チャイカ,Hanabatake Chaika,Nijisanji,SEEDS,289000,469
UCt5-0i4AVHXaWJrL8Wql3mw,緑仙channel,Ryushen,Nijisanji,SEEDS,452000,431
UCtAvQ5U0aXyKwm2i4GqFgJg,春崎エアル,Harusaki Air,Nijisanji,SEEDS,68700,181
UCTIE7LM5X15NVugV7Krp9Hw,夢追翔のJUKE BOX,Yumeoi Kakeru,Nijisanji,SEEDS,242000,452
UCV5ZZlLjk5MKGg3L0n0vbzw,鷹宮リオン / Rion Takamiya,Takamiya Rion,Nijisanji,SEEDS,363000,1057
UCvzVB-EYuHFXHZrObB8a_Og,矢車りね - Rine Yaguruma -,Yaguruma Rine,Nijisanji,SEEDS,70300,102
UCWz0CSYCxf4MhRKPDm220AQ,【にじさんじ】神田笑一,Kanda Shoichi,Nijisanji,SEEDS,178000,1130
UC48jH1ul-6HOrcSSfoR02fQ,Yuhi Riri Official,Yuuhi Riri,Nijisanji,Wave 2,190000,497
UCBiqkFJljoxAj10SoP2w2Cg,文野環【にじさんじの野良猫】ふみのたまき,Fumino Tamaki,Nijisanji,Wave 2,275000,371
UC_GCs6GARLxEHxy1w40d6VQ,家長むぎ【にじさんじ所属】,Ienaga Mugi,Nijisanji,Wave 2,156000,124
UCmUjjW5zF1MMOhYUwwwQv9Q,宇志海いちご,Ushimi Ichigo,Nijisanji,Wave 2,153000,435
UCt0clH12Xk1-Ej5PXKGfdPA,♥️♠️物述有栖♦️♣️,Mononobe Alice,Nijisanji,Wave 2,236000,436
UCtpB6Bvhs1Um93ziEDACQ8g,森中花咲,Morinaka Kazaki,Nijisanji,Wave 2,240000,305
UCUzJ90o1EjqUbk2pBAy0_aw,Gilzaren III Season 2,Gilzaren III,Nijisanji,Wave 2,101000,33
UCv1fFr156jc65EMiLbaLImw,剣持刀也,Kenmochi Toya,Nijisanji,Wave 2,367000,306
UCwokZsOK_uEre70XayaFnzA,鈴鹿詩子 Utako Suzuka,Suzuka Utako,Nijisanji,Wave 2,443000,587
UCXU7YYxy_iQd3ulXyO-zC2w,伏見ガク【にじさんじ所属】,Fushimi Gaku,Nijisanji,Wave 2,137000,350
UC0WwEfE-jOM2rzjpdfhTzZA,愛園 愛美/Aizono Manami,Aizono Manami,Nijisanji,Wave 2019,155000,390
UC1QgXt46-GEvtNjEC1paHnw,グウェル・オス・ガール / Gwelu Os Gar 【にじさんじ】,Gwelu Os Gar,Nijisanji,Wave 2019,186000,267
UC2OacIzd2UxGHRGhdHl1Rhw,早瀬 走 / Hayase Sou【にじさんじ所属】,Hayase Sou,Nijisanji,Wave 2019,167000,356
UC6wvdADTJ88OfIbJYIpAaDA,不破 湊 / Fuwa Minato【にじさんじ】,Fuwa Minato,Nijisanji,Wave 2019,332000,427
UC8C1LLhBhf_E2IBPLSDJXlQ,健屋花那【にじさんじ】KanaSukoya,Sukoya Kana,Nijisanji,Wave 2019,364000,419
UC9V3Y3_uzU5e-usObb6IE1w,星川サラ / Sara Hoshikawa,Hoshikawa Sara,Nijisanji,Wave 2019,493000,505
UC_a1ZYZ8ZTXpjg9xUY9sj8w,鈴原るる【にじさんじ所属】,Suzuhara Lulu,Nijisanji,Wave 2019,539000,592
UCb5JxV6vKlYVknoJB8TnyYg,黛 灰 / Kai Mayuzumi【にじさんじ】,Mayuzumi Kai,Nijisanji,Wave 2019,388000,471
UCb6ObE-XGCctO3WrjRZC-cw,ルイス・キャミー,Luis Cammy,Nijisanji,Wave 2019,163000,369
UCCVwhI5trmaSxfcze_Ovzfw,夢月ロア🌖Yuzuki Roa,Yuzuki Roa,Nijisanji,Wave 2019,335000,364
UCdpUojq0KWZCN9bxXnZwz5w,アルス・アルマル -ars almal- 【にじさんじ】,Ars Almal,Nijisanji,Wave 2019,480000,573
UCerkculBD7YLc_vOGrF7tKg,魔使マオ -matsukai mao-,Matsukai Mao,Nijisanji,Wave 2019,167000,428
UCeShTCVgZyq2lsBW9QwIJcw,【3年0組】郡道美玲の教室,Gundo Mirei,Nijisanji,Wave 2019,303000,762
UCfipDDn7wY-C-SoUChgxCQQ,葉山舞鈴 / Hayama Marin,Hayama Marin,Nijisanji,Wave 2019,162000,581
UCfki3lMEF6SGBFiFfo9kvUA,ましろ / Mashiro,Mashiro,Nijisanji,Wave 2019,233000,225
UCg63a3lk6PNeWhVvMRM_mrQ,小野町 春香 / Onomachi Haruka 【にじさんじ】,Onomachi Haruka,Nijisanji,Wave 2019,132000,818
UCGYAYLDE7TZiiC8U6teciDQ,葉加瀬 冬雪 / Hakase Fuyuki,Hakase Fuyuki,Nijisanji,Wave 2019,266000,657
UCHBhnG2G-qN0JrrWmMO2FTA,シェリン・バーガンディ -Shellin Burgundy- 【にじさんじ】,Shellin Burgundy,Nijisanji,Wave 2019,217000,318
UCHK5wkevfaGrPr7j3g56Jmw,瀬戸 美夜子 - Miyako Seto,Seto Miyako,Nijisanji,Wave 2019,126000,665
UCHVXbQzkl3rDfsXWo8xi2qw,アンジュ・カトリーナ - Ange Katrina -,Ange Katrina,Nijisanji,Wave 2019,477000,299
UCHX7YpFG8rVwhsHCx34xt7w,雪城眞尋/Yukishiro Mahiro【にじさんじ所属】,Yukishiro Mahiro,Nijisanji,Wave 2019,118000,395
UCIG9rDtgR45VCZmYnd-4DUw,ラトナ・プティ -Ratna Petit -にじさんじ所属,Ratna Petit,Nijisanji,Wave 2019,284000,598
UCIytNcoz4pWzXfLda0DoULQ,エクス・アルビオ -Ex Albio-,Ex Albio,Nijisanji,Wave 2019,271000,565
UCkIimWZ9gBJRamKF0rmPU8w,天宮 こころ / Amamya Ch.,Amamiya Kokoro,Nijisanji,Wave 2019,289000,487
UCl1oLKcAq93p-pwKfDGhiYQ,えま★おうがすと,Emma★August,Nijisanji,Wave 2019,184000,240
UCL34fAoFim9oHLbVzMKFavQ,夜見れな/yorumi rena【にじさんじ所属】,Yorumi Rena,Nijisanji,Wave 2019,328000,764
UCllKI7VjyANuS1RXatizfLQ,山神 カルタ / Karuta Yamagami,Yamagami Karuta,Nijisanji,Wave 2019,133000,490
UCmovZ2th3Sqpd00F5RdeigQ,加賀美 ハヤト/Hayato Kagami,Kagami Hayato,Nijisanji,Wave 2019,375000,457
UCnRQYHTnRLSF0cLJwMnedCg,相羽ういは〖Aiba Uiha〗にじさんじ所属,Aiba Uiha,Nijisanji,Wave 2019,246000,58
UCNW1Ex0r6HsWRD4LCtPwvoQ,三枝明那 / Saegusa Akina,Saegusa Akina,Nijisanji,Wave 2019,334000,425
UC-o-E6I3IC2q8sAoAuM6Umg,奈羅花 - Naraka -,Naraka,Nijisanji,Wave 2019,203000,293
UCpNH2Zk2gw3JBjWAKSyZcQQ,エリー・コニファー / Eli Conifer【にじさんじ】,Eli Conifer,Nijisanji,Wave 2019,144000,331
UCRcLAVTbmx2-iNcXSsupdNA,来栖 夏芽-kurusu natsume-【にじさんじ】,Kurusu Natsume,Nijisanji,Wave 2019,98700,303
UCtnO2N4kPTXmyvedjGWdx3Q,レヴィ・エリファ-Levi Elipha-,Levi Elipha,Nijisanji,Wave 2019,207000,605
UCUc8GZfFxtmk7ZwSO7ccQ0g,ニュイ・ソシエール //[Nui Sociere],Nui Sociere,Nijisanji,Wave 2019,310000,594
UCuvk5PilcvDECU7dDZhQiEw,白雪 巴/Shirayuki Tomoe,Shirayuki Tomoe,Nijisanji,Wave 2019,252000,459
